,cmte_id,cmte_nm,name,file_year,other_id,sum
243,C00079541,NARAL PRO-CHOICE AMERICA PAC,RUSS FOR WISCONSIN,2016,C00578013,6000.0
244,C00079541,NARAL PRO-CHOICE AMERICA PAC,TAMMY FOR ILLINOIS,2016,C00574889,6000.0
245,C00079541,NARAL PRO-CHOICE AMERICA PAC,PRIMILA FOR CONGRESS,2016,C00605592,6000.0
246,C00079541,NARAL PRO-CHOICE AMERICA PAC,KUSTER FOR CONGRESS,2014,C00462861,6000.0
247,C00079541,NARAL PRO-CHOICE AMERICA PAC,KATIE PORTER FOR CONGRESS,2020,C00636571,5534.0
248,C00079541,NARAL PRO-CHOICE AMERICA PAC,AMI BERA FOR CONGRESS,2016,C00461061,5500.0
249,C00079541,NARAL PRO-CHOICE AMERICA PAC,LAUREN UNDERWOOD FOR CONGRESS,2022,C00652719,5500.0
250,C00079541,NARAL PRO-CHOICE AMERICA PAC,XOCHITL FOR NEW MEXICO,2020,C00666149,5500.0
251,C00079541,NARAL PRO-CHOICE AMERICA PAC,HARLEY ROUDA FOR CONGRESS,2020,C00633982,5234.0
252,C00079541,NARAL PRO-CHOICE AMERICA PAC,JESSICA CISNEROS FOR CONGRESS,2020,C00709006,5100.0
253,C00079541,NARAL PRO-CHOICE AMERICA PAC,PETERS FOR MICHIGAN,2020,C00437889,5054.0
254,C00079541,NARAL PRO-CHOICE AMERICA PAC,JEFF MERKLEY FOR OREGON,2020,C00437277,5034.0
255,C00079541,NARAL PRO-CHOICE AMERICA PAC,MARIE NEWMAN FOR CONGRESS,2020,C00636670,5025.0
256,C00079541,NARAL PRO-CHOICE AMERICA PAC,RUSS CARNAHAN FOR CONGRESS COMMITTEE,2010,C00386276,5000.0
257,C00079541,NARAL PRO-CHOICE AMERICA PAC,ALASKANS FOR BEGICH,2014,C00446260,5000.0
258,C00079541,NARAL PRO-CHOICE AMERICA PAC,ALEXI FOR ILLINOIS,2010,C00459586,5000.0
259,C00079541,NARAL PRO-CHOICE AMERICA PAC,AL LAWSON FOR CONGRESS,2012,C00460261,5000.0
260,C00079541,NARAL PRO-CHOICE AMERICA PAC,ANDREA SALINAS FOR OREGON,2022,C00793703,5000.0
261,C00079541,NARAL PRO-CHOICE AMERICA PAC,A WHOLE LOT OF PEOPLE FOR GRIJALVA CONGRESSIONAL COMMITTEE,2010,C00374058,5000.0
262,C00079541,NARAL PRO-CHOICE AMERICA PAC,BEN CARDIN FOR SENATE,2012,C00411587,5000.0
263,C00079541,NARAL PRO-CHOICE AMERICA PAC,BERA FOR CONGRESS,2010,C00461061,5000.0
264,C00079541,NARAL PRO-CHOICE AMERICA PAC,BETTY SUTTON FOR CONGRESS,2010,C00417816,5000.0
265,C00079541,NARAL PRO-CHOICE AMERICA PAC,BILL FOSTER FOR CONGRESS COMMITTEE,2010,C00435099,5000.0
266,C00079541,NARAL PRO-CHOICE AMERICA PAC,BILL KEATING COMMITTEE; THE,2010,C00479063,5000.0
267,C00079541,NARAL PRO-CHOICE AMERICA PAC,BILL OWENS FOR CONGRESS,2010,C00464495,5000.0
268,C00079541,NARAL PRO-CHOICE AMERICA PAC,BISHOP FOR CONGRESS,2012,C00375618,5000.0
269,C00079541,NARAL PRO-CHOICE AMERICA PAC,BLUMENTHAL FOR CONNECTICUT,2016,C00492991,5000.0
270,C00079541,NARAL PRO-CHOICE AMERICA PAC,BLUMENTHAL FOR SENATE,2010,C00473587,5000.0
271,C00079541,NARAL PRO-CHOICE AMERICA PAC,BLUMENTHAL FOR SENATE,2022,C00492991,5000.0
272,C00079541,NARAL PRO-CHOICE AMERICA PAC,BRALEY FOR IOWA,2014,C00541417,5000.0
273,C00079541,NARAL PRO-CHOICE AMERICA PAC,BRALEY FOR SENATE,2014,C00541417,5000.0
274,C00079541,NARAL PRO-CHOICE AMERICA PAC,CANDACE FOR 24,2020,C00702225,5000.0
275,C00079541,NARAL PRO-CHOICE AMERICA PAC,CAROL SHEA-PORTER FOR CONGRESS,2010,C00419978,5000.0
276,C00079541,NARAL PRO-CHOICE AMERICA PAC,CAROL SHEA-PORTER FOR CONGRESS,2014,C00419978,5000.0
277,C00079541,NARAL PRO-CHOICE AMERICA PAC,CASTEN FOR CONGRESS,2022,C00648493,5000.0
278,C00079541,NARAL PRO-CHOICE AMERICA PAC,CHRIS COONS FOR DELAWARE,2010,C00475392,5000.0
279,C00079541,NARAL PRO-CHOICE AMERICA PAC,CHRIS DELUZIO FOR CONGRESS,2022,C00787648,5000.0
280,C00079541,NARAL PRO-CHOICE AMERICA PAC,CHRISTY SMITH FOR CONGRESS,2022,C00725101,5000.0
281,C00079541,NARAL PRO-CHOICE AMERICA PAC,CICILLINE COMMITTEE,2010,C00476564,5000.0
282,C00079541,NARAL PRO-CHOICE AMERICA PAC,COLIN ALLRED FOR CONGRESS,2020,C00637868,5000.0
283,C00079541,NARAL PRO-CHOICE AMERICA PAC,COMMITTEE TO ELECT MICHELLE LUJAN,2012,C00501254,5000.0
284,C00079541,NARAL PRO-CHOICE AMERICA PAC,COMMITTEE TO ELECT NATHAN SHINAGAWA,2012,C00512905,5000.0
285,C00079541,NARAL PRO-CHOICE AMERICA PAC,COMMITTEE TO RE-ELECT LINDA SANCHEZ,2010,C00384057,5000.0
286,C00079541,NARAL PRO-CHOICE AMERICA PAC,CORY BOOKER FOR SENATE,2020,C00540500,5000.0
287,C00079541,NARAL PRO-CHOICE AMERICA PAC,DAN LAMB FOR CONGRESS,2012,C00512699,5000.0
288,C00079541,NARAL PRO-CHOICE AMERICA PAC,DAVID WEPRIN FOR CONGRESS,2012,C00499103,5000.0
289,C00079541,NARAL PRO-CHOICE AMERICA PAC,DEBBIE WASSERMAN SCHULTZ FOR CONGRESS,2016,C00385773,5000.0
290,C00079541,NARAL PRO-CHOICE AMERICA PAC,DELBENE FOR CONGRESS,2012,C00459099,5000.0
