,cmte_id,cmte_nm,name,file_year,other_id,sum
86,C00079541,NARAL PRO-CHOICE AMERICA PAC,PEOPLE FOR PATTY MURRAY,2022,C00257642,10013.0
87,C00079541,NARAL PRO-CHOICE AMERICA PAC,STABENOW FOR US SENATE,2012,C00344473,10000.0
88,C00079541,NARAL PRO-CHOICE AMERICA PAC,FRIENDS OF SHERROD BROWN,2012,C00264697,10000.0
89,C00079541,NARAL PRO-CHOICE AMERICA PAC,FRIENDS OF STEVE POUGNET,2010,C00459842,10000.0
90,C00079541,NARAL PRO-CHOICE AMERICA PAC,MONTANANS FOR BULLOCK,2020,C00741611,10000.0
91,C00079541,NARAL PRO-CHOICE AMERICA PAC,GIFFORDS FOR CONGRESS,2010,C00417618,10000.0
92,C00079541,NARAL PRO-CHOICE AMERICA PAC,GILLIBRAND FOR SENATE,2010,C00413914,10000.0
93,C00079541,NARAL PRO-CHOICE AMERICA PAC,BOLLIER FOR KANSAS,2020,C00723122,10000.0
94,C00079541,NARAL PRO-CHOICE AMERICA PAC,MCNERNEY FOR CONGRESS,2012,C00398644,10000.0
95,C00079541,NARAL PRO-CHOICE AMERICA PAC,MCNERNEY FOR CONGRESS,2010,C00398644,10000.0
96,C00079541,NARAL PRO-CHOICE AMERICA PAC,HAGAN FOR US SENATE,2014,C00457622,10000.0
97,C00079541,NARAL PRO-CHOICE AMERICA PAC,MARTIN HEINRICH FOR SENATE,2012,C00434563,10000.0
98,C00079541,NARAL PRO-CHOICE AMERICA PAC,HANABUSA 2010,2010,C00468413,10000.0
99,C00079541,NARAL PRO-CHOICE AMERICA PAC,HARRY MITCHELL FOR CONGRESS,2010,C00421271,10000.0
100,C00079541,NARAL PRO-CHOICE AMERICA PAC,MARTIN HEINRICH FOR CONGRESS,2010,C00434563,10000.0
101,C00079541,NARAL PRO-CHOICE AMERICA PAC,HICKENLOOPER FOR COLORADO,2020,C00716720,10000.0
102,C00079541,NARAL PRO-CHOICE AMERICA PAC,BOOCKVAR FOR CONGRESS,2012,C00509406,10000.0
103,C00079541,NARAL PRO-CHOICE AMERICA PAC,HODES FOR SENATE,2010,C00459040,10000.0
104,C00079541,NARAL PRO-CHOICE AMERICA PAC,MARTHA COAKLEY FOR SENATE COMMITTEE,2010,C00466573,10000.0
105,C00079541,NARAL PRO-CHOICE AMERICA PAC,HORSFORD FOR CONGRESS,2012,C00504613,10000.0
106,C00079541,NARAL PRO-CHOICE AMERICA PAC,MARK KELLY FOR SENATE,2022,C00696526,10000.0
107,C00079541,NARAL PRO-CHOICE AMERICA PAC,MARK KELLY FOR SENATE,2020,C00696526,10000.0
108,C00079541,NARAL PRO-CHOICE AMERICA PAC,MARKEY FOR CONGRESS,2010,C00436063,10000.0
109,C00079541,NARAL PRO-CHOICE AMERICA PAC,LOUISE SLAUGHTER RE-ELECTION COMMITTEE,2012,C00213611,10000.0
110,C00079541,NARAL PRO-CHOICE AMERICA PAC,LOIS FRANKEL FOR CONGRESS,2012,C00494856,10000.0
111,C00079541,NARAL PRO-CHOICE AMERICA PAC,LOEBSACK FOR CONGRESS,2012,C00414318,10000.0
112,C00079541,NARAL PRO-CHOICE AMERICA PAC,BOUCHER FOR CONGRESS COMMITTEE,2010,C00178418,10000.0
113,C00079541,NARAL PRO-CHOICE AMERICA PAC,KUSTER FOR CONGRESS,2012,C00462861,10000.0
114,C00079541,NARAL PRO-CHOICE AMERICA PAC,KUSTER FOR CONGRESS,2010,C00462861,10000.0
115,C00079541,NARAL PRO-CHOICE AMERICA PAC,KREITLOW FOR CONGRESS,2012,C00496026,10000.0
116,C00079541,NARAL PRO-CHOICE AMERICA PAC,JESSICA CISNEROS FOR CONGRESS,2022,C00709006,10000.0
117,C00079541,NARAL PRO-CHOICE AMERICA PAC,KRATOVIL FOR CONGRESS,2010,C00434936,10000.0
118,C00079541,NARAL PRO-CHOICE AMERICA PAC,JOHN HALL FOR CONGRESS,2010,C00417451,10000.0
119,C00079541,NARAL PRO-CHOICE AMERICA PAC,KOSMAS FOR CONGRESS,2010,C00440149,10000.0
120,C00079541,NARAL PRO-CHOICE AMERICA PAC,JON OSSOFF FOR SENATE,2020,C00718866,10000.0
121,C00079541,NARAL PRO-CHOICE AMERICA PAC,KENDRICK MEEK FOR FLORIDA,2010,C00458646,10000.0
122,C00079541,NARAL PRO-CHOICE AMERICA PAC,JOSE HERNANDEZ FOR CONGRESS,2012,C00502989,10000.0
123,C00079541,NARAL PRO-CHOICE AMERICA PAC,KEITH FITZGERALD FOR CONGRESS,2012,C00505925,10000.0
124,C00079541,NARAL PRO-CHOICE AMERICA PAC,KAMALA HARRIS FOR SENATE,2016,C00571919,10000.0
