,cmte_id,cmte_nm,name,other_id,sum
187,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",NIKKI FOR CONGRESS,C00787812,5000.0
188,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",MRVAN FOR CONGRESS,C00727529,5000.0
189,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",MICHIGAN DEMOCRATIC STATE CENTRAL COMMITEE,C00031054,5000.0
190,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",MICHELLE VALLEJO FOR CONGRESS,C00797217,5000.0
191,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",MAX ROSE FOR CONGRESS,C00652248,5000.0
192,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",RUDY SALAS FOR CONGRESS,C00791756,5000.0
193,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",SANFORD BISHOP FOR CONGRESS,C00266940,5000.0
194,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",MAGAZINER FOR CONGRESS,C00802504,5000.0
195,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",SCHOLTEN FOR CONGRESS,C00711317,5000.0
196,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",SEAN PATRICK MALONEY FOR CONGRESS,C00512426,5000.0
197,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",LIZ MATHIS FOR CONGRESS,C00785675,5000.0
198,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",ADAM GRAY FOR CONGRESS,C00801431,5000.0
199,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",LANDSMAN FOR CONGRESS,C00800276,5000.0
200,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC","KUSTER FOR CONGRESS, INC.",C00462861,5000.0
201,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",KERMIT JONES FOR CONGRESS,C00786087,5000.0
202,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",KATHY MANNING FOR CONGRESS,C00662577,5000.0
203,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",TADDEO FOR CONGRESS,C00445163,5000.0
204,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",THE COLLECTIVE PAC,C00617381,5000.0
205,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",JULIA BROWNLEY FOR CONGRESS,C00513077,5000.0
206,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",BENNET FOR COLORADO,C00458398,5000.0
207,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",ASIAN AMERICAN ACTION FUND,C00351031,5000.0
208,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",ANDREA SALINAS FOR OREGON,C00793703,5000.0
209,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",CHRIS DELUZIO FOR CONGRESS,C00787648,5000.0
210,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",CASTEN FOR CONGRESS,C00648493,5000.0
211,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",CARAVEO FOR CONGRESS,C00787788,5000.0
212,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",BRITTANY PETTERSEN FOR COLORADO,C00637215,5000.0
213,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",BRIDGET FLEMING FOR CONGRESS,C00728832,5000.0
214,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",WASHINGTON STATE DEMOCRATIC CENTRAL COMMITTEE,C00114439,4972.0
215,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",TERESA FOR ALL,C00704049,4910.0
216,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",EMILIA SYKES FOR CONGRESS,C00801274,4754.0
217,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD ACTION FUND,C00684530,4705.0
218,C00489799,PLANNED PARENTHOOD VOTES,DELIVER STRATEGIES,H8PA15229,4685.0
219,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD ACTION FUND,S6PA00274,4331.0
220,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",CLEAN SWEEP CAMPAIGNS,S2WA00189,4206.0
221,C00663724,PLANNED PARENTHOOD VOTES OHIO,"RESONANCE CAMPAIGNS, LLC",S2OH00402,4187.0
222,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD SOUTHEAST ADVOCATES,S0GA00526,4186.0
223,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",ELIZABETH PANNILL FLETCHER FOR CONGRESS,C00640045,4000.0
224,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PEOPLE FOR PATTY MURRAY,C00257642,3938.0
225,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",CLEAN SWEEP CAMPAIGNS,H2WA03100,3763.0
226,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",FETTERMAN FOR PA,C00765800,3577.0
227,C00685289,NEVADA ADVOCATES FOR PLANNED PARENTHOOD AFFILIATES PAC (NAPPA PAC),NREAL,S2NV00324,3350.0
228,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",CLEAN SWEEP CAMPAIGNS,H8WA08189,3291.0
229,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",MELANIE FOR NEW MEXICO,C00765099,3000.0
230,C00687848,PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES' COMMUNITY ACTION FUND PAC,PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES' COMMUNITY ACTION FUND,,2885.0
231,C00684530,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,SCALE FOR CHANGE,H8MN03143,2810.0
232,C00688432,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST PAC,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST,H8CA50098,2706.0
233,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",EHASZ FOR CONGRESS,C00791335,2500.0
234,C00489799,PLANNED PARENTHOOD VOTES,"NGP VAN, INC.",S0AZ00350,2500.0
235,C00489799,PLANNED PARENTHOOD VOTES,"NGP VAN, INC.",S4NC00162,2500.0
236,C00489799,PLANNED PARENTHOOD VOTES,"NGP VAN, INC.",S6ME00159,2500.0
237,C00489799,PLANNED PARENTHOOD VOTES,"NGP VAN, INC.",S8AZ00221,2500.0
238,C00685289,NEVADA ADVOCATES FOR PLANNED PARENTHOOD AFFILIATES PAC (NAPPA PAC),CHONG AND KOSTER,S6NV00200,2500.0
239,C00489799,PLANNED PARENTHOOD VOTES,"NGP VAN, INC.",S0ME00111,2500.0
240,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",GILLEN FOR CONGRESS,C00806547,2500.0
241,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",FRIENDS OF SCHUMER,C00346312,2500.0
242,C00489799,PLANNED PARENTHOOD VOTES,"NGP VAN, INC.",S0NC00202,2500.0
243,C00489799,PLANNED PARENTHOOD VOTES,"NGP VAN, INC.",S0NH00219,2500.0
244,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",PFAFF FOR CONGRESS,C00790543,2500.0
245,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",MARY PELTOLA FOR ALASKA,C00812388,2500.0
