,cmte_id,cmte_nm,name,other_id,sum
99,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",KATIE PORTER FOR CONGRESS,C00636571,10000.0
100,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",SPANBERGER FOR CONGRESS,C00649913,10000.0
101,C00489799,PLANNED PARENTHOOD VOTES,L PAC,C00519413,10000.0
102,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",MIKE LEVIN FOR CONGRESS,C00634253,10000.0
103,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",MIKIE SHERRILL FOR CONGRESS,C00640003,10000.0
104,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",RAVENNA STRATEGIES LLC,S2WA00189,10000.0
105,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",ANDY KIM FOR CONGRESS,C00648220,9910.0
106,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",CINDY AXNE FOR CONGRESS,C00646844,9910.0
107,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",LAUREN UNDERWOOD FOR CONGRESS,C00652719,9910.0
108,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",TITUS FOR CONGRESS,C00499467,9910.0
109,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",NEVADANS FOR STEVEN HORSFORD,C00668228,9910.0
110,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",ELAINE FOR CONGRESS,C00664375,9857.0
111,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",SUSIE LEE FOR CONGRESS,C00655613,9809.0
112,C00685289,NEVADA ADVOCATES FOR PLANNED PARENTHOOD AFFILIATES PAC (NAPPA PAC),WE VOTE - NOSOTROS VOTAMOS - PPAMM COMMITTEE,C00527226,9784.0
113,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",SUSAN WILD FOR CONGRESS,C00658567,9758.0
114,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",CATHERINE CORTEZ MASTO FOR SENATE,C00575548,9734.0
115,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD PENNSYLVANIA ADVOCATES,S2PA00638,9731.0
116,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",MAGGIE FOR NH,C00588772,9724.0
117,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",CHERI BEASLEY FOR NORTH CAROLINA,C00777904,9184.0
118,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",MANDELA BARNES FOR WISCONSIN,C00784959,9053.0
119,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",WARNOCK FOR GEORGIA,C00736876,8958.0
